epoch,iter,iters,lr,time,loss,loss_cls,loss_bbox,loss_dfl,global_iter
1,50,3238,1.0097e-05,0.8128,396.1377,313.0754,39.6545,43.4077,50
1,100,3238,2.0093e-05,0.7068,294.536,223.0755,32.779,38.6815,100
1,150,3238,3.009e-05,0.7146,244.3548,175.5125,31.6357,37.2066,150
1,200,3238,4.0087e-05,0.701,230.5129,162.7901,31.146,36.5768,200
1,250,3238,5.0083e-05,0.7023,220.3426,153.3009,30.9532,36.0885,250
1,300,3238,6.008e-05,0.7039,210.3596,144.533,30.0939,35.7328,300
1,350,3238,7.0077e-05,0.7113,201.745,136.3626,30.0169,35.3655,350
1,400,3238,8.0073e-05,0.7114,207.1341,139.3544,31.4397,36.3399,400
1,450,3238,9.007e-05,0.7189,198.9532,133.2953,30.3412,35.3166,450
1,500,3238,0.00010007,0.7043,195.1425,129.4756,29.9937,35.6732,500
1,550,3238,0.00011006,0.7055,194.9593,128.3638,30.7855,35.81,550
1,600,3238,0.00012006,0.7169,189.6016,124.9062,29.7795,34.9159,600
1,650,3238,0.00013006,0.7021,186.6849,121.7845,29.6065,35.2939,650
1,700,3238,0.00014005,0.7026,191.6273,125.2595,30.6369,35.7309,700
1,750,3238,0.00015005,0.7066,186.256,121.3493,29.8421,35.0646,750
1,800,3238,0.00016005,0.7289,187.6645,122.7618,29.5347,35.368,800
1,850,3238,0.00017004,0.7056,181.6357,116.3823,29.8506,35.4028,850
1,900,3238,0.00018004,0.7067,184.5076,119.5709,29.7014,35.2353,900
1,950,3238,0.00019004,0.71,179.7558,113.8976,30.1099,35.7482,950
1,1000,3238,0.00020003,0.7051,183.6945,117.9122,30.2466,35.5356,1000
1,1050,3238,0.00021003,0.7365,179.3292,114.4106,29.5803,35.3383,1050
1,1100,3238,0.00022003,0.7162,180.3574,115.1973,29.8029,35.3572,1100
1,1150,3238,0.00023002,0.7072,183.421,118.4391,29.6878,35.2941,1150
1,1200,3238,0.00024002,0.7094,183.013,117.6577,30.2754,35.0799,1200
1,1250,3238,0.00025002,0.715,184.0079,118.5713,30.1473,35.2893,1250
1,1300,3238,0.00026001,0.7169,183.2438,117.4117,30.4828,35.3493,1300
1,1350,3238,0.00027001,0.7108,186.4353,120.1472,30.3399,35.9481,1350
1,1400,3238,0.00028001,0.7167,180.8932,115.446,29.8471,35.6,1400
1,1450,3238,0.00029,0.7083,181.7204,115.6235,30.3646,35.7322,1450
1,1500,3238,0.0003,0.7124,180.9187,114.7682,30.3047,35.8458,1500
1,1550,3238,0.0003,0.7108,180.6097,114.1391,30.6301,35.8404,1550
1,1600,3238,0.0003,0.7036,185.3182,118.1108,31.1851,36.0223,1600
1,1650,3238,0.0003,0.7022,178.3152,113.3041,30.1779,34.8332,1650
1,1700,3238,0.0003,0.7205,181.278,113.8085,31.044,36.4255,1700
1,1750,3238,0.0003,0.7174,180.564,113.4634,30.8679,36.2327,1750
1,1800,3238,0.0003,0.7008,173.0103,106.9966,30.12,35.8937,1800
1,1850,3238,0.0003,0.6994,175.4073,109.9207,29.8258,35.6608,1850
1,1900,3238,0.0003,0.7144,172.8843,107.9432,29.4309,35.5102,1900
1,1950,3238,0.0003,0.712,175.3486,109.2844,30.0055,36.0588,1950
1,2000,3238,0.0003,0.704,167.3908,102.6662,29.3858,35.3387,2000
1,2050,3238,0.0003,0.6972,169.6447,105.3432,29.136,35.1655,2050
1,2100,3238,0.0003,0.6963,172.7513,106.3832,30.1754,36.1927,2100
1,2150,3238,0.0003,0.7041,168.7743,104.3344,29.1093,35.3306,2150
