epoch,iter,iters,lr,time,loss,loss_cls,loss_bbox,loss_dfl,global_iter
1,50,3238,1.0097e-05,0.8652,388.9048,305.5238,38.7072,44.6737,50
1,100,3238,2.0093e-05,0.7492,277.9595,208.2883,31.7339,37.9373,100
1,150,3238,3.009e-05,0.7653,241.9138,174.5417,30.6088,36.7634,150
1,200,3238,4.0087e-05,0.7586,219.9,154.2517,29.9838,35.6645,200
1,250,3238,5.0083e-05,0.756,211.6973,146.115,30.1223,35.46,250
1,300,3238,6.008e-05,0.7607,212.2213,144.3753,31.6062,36.2398,300
1,350,3238,7.0077e-05,0.7608,200.0051,135.4496,29.461,35.0946,350
1,400,3238,8.0073e-05,0.7841,200.1404,135.1021,29.9073,35.131,400
1,450,3238,9.007e-05,0.7625,193.5779,129.34,29.29,34.9479,450
1,500,3238,0.00010007,0.7674,192.7019,127.6929,29.7072,35.3017,500
1,550,3238,0.00011006,0.777,189.7504,124.6213,30.0023,35.1268,550
1,600,3238,0.00012006,0.7879,190.7842,125.5938,29.7838,35.4066,600
1,650,3238,0.00013006,0.7726,191.5469,126.7154,29.5948,35.2367,650
1,700,3238,0.00014005,0.7636,184.5315,119.6255,29.6611,35.2449,700
1,750,3238,0.00015005,0.768,183.1608,119.1685,29.3236,34.6688,750
1,800,3238,0.00016005,0.7687,189.6481,123.8613,30.1386,35.6483,800
1,850,3238,0.00017004,0.7713,185.2804,120.3644,29.8823,35.0337,850
1,900,3238,0.00018004,0.7682,185.6356,119.4633,30.3454,35.8268,900
1,950,3238,0.00019004,0.7812,180.5765,115.8072,29.6533,35.116,950
1,1000,3238,0.00020003,0.7686,184.8871,119.3402,30.1206,35.4263,1000
1,1050,3238,0.00021003,0.7897,189.9463,123.2193,30.9328,35.7942,1050
1,1100,3238,0.00022003,0.7689,177.4681,114.1756,28.4919,34.8006,1100
1,1150,3238,0.00023002,0.77,191.1365,123.7822,31.1869,36.1673,1150
1,1200,3238,0.00024002,0.7717,186.6048,119.9927,30.7749,35.8372,1200
1,1250,3238,0.00025002,0.7697,184.8825,119.4331,30.1028,35.3466,1250
1,1300,3238,0.00026001,0.7826,192.1617,123.5733,31.7298,36.8586,1300
1,1350,3238,0.00027001,0.7708,186.8429,121.3097,30.008,35.5252,1350
1,1400,3238,0.00028001,0.7715,188.8424,122.8689,30.4139,35.5596,1400
1,1450,3238,0.00029,0.7672,192.6621,124.6978,31.3425,36.6218,1450
1,1500,3238,0.0003,0.7826,189.7782,121.0159,31.8938,36.8685,1500
1,1550,3238,0.0003,0.7631,190.9507,123.7228,31.0571,36.1708,1550
1,1600,3238,0.0003,0.7663,188.1062,121.8928,30.5424,35.671,1600
1,1650,3238,0.0003,0.7697,186.6384,118.405,31.8409,36.3925,1650
1,1700,3238,0.0003,0.7811,187.1315,119.8534,31.4101,35.868,1700
1,1750,3238,0.0003,0.7791,184.2359,116.3689,31.113,36.754,1750
1,1800,3238,0.0003,0.7647,187.1173,119.2177,31.299,36.6005,1800
1,1850,3238,0.0003,0.7605,182.4794,116.2381,30.6483,35.593,1850
1,1900,3238,0.0003,0.7622,180.8423,115.0834,30.0041,35.7548,1900
1,1950,3238,0.0003,0.7748,176.2975,110.3449,30.3042,35.6484,1950
1,2000,3238,0.0003,0.7627,177.7561,111.2593,30.7367,35.7602,2000
1,2050,3238,0.0003,0.7574,172.7755,107.208,30.0416,35.526,2050
1,2100,3238,0.0003,0.7667,175.4596,109.3831,30.1858,35.8907,2100
1,2150,3238,0.0003,0.7796,172.1214,106.4132,30.0581,35.6501,2150
1,2200,3238,0.0003,0.7604,166.3249,102.8101,28.7895,34.7254,2200
1,2250,3238,0.0003,0.7597,168.7647,104.2456,29.4023,35.1168,2250
1,2300,3238,0.0003,0.7554,168.9005,104.0488,29.5672,35.2845,2300
1,2350,3238,0.0003,0.7625,167.0367,102.9105,29.3213,34.8048,2350
1,2400,3238,0.0003,0.7793,170.8102,104.7898,30.1393,35.8811,2400
1,2450,3238,0.0003,0.7605,168.4207,103.5698,29.6701,35.1807,2450
1,2500,3238,0.0003,0.7563,166.6776,102.1648,29.0096,35.5033,2500
1,2550,3238,0.0003,0.7604,168.1109,102.9724,29.4257,35.7127,2550
1,2600,3238,0.0003,0.7769,172.9787,106.9662,30.2365,35.7761,2600
1,2650,3238,0.0003,0.7585,163.3194,100.0007,28.4779,34.8409,2650
1,2700,3238,0.0003,0.7588,167.7977,102.7497,29.677,35.371,2700
1,2750,3238,0.0003,0.7579,161.2739,97.6223,28.8205,34.8312,2750
1,2800,3238,0.0003,0.7735,160.2541,96.1492,28.7436,35.3613,2800
1,2850,3238,0.0003,0.7568,161.9751,98.9871,28.5696,34.4184,2850
1,2900,3238,0.0003,0.7601,162.2204,97.8734,29.3793,34.9677,2900
1,2950,3238,0.0003,0.7588,158.3639,94.4371,29.1515,34.7753,2950
1,3000,3238,0.0003,0.758,159.2451,96.5125,28.2855,34.4471,3000
1,3050,3238,0.0003,0.7799,160.642,96.6512,28.9821,35.0088,3050
1,3100,3238,0.0003,0.7595,164.2095,100.506,28.8364,34.867,3100
1,3150,3238,0.0003,0.7607,159.9085,96.7879,28.569,34.5516,3150
1,3200,3238,0.0003,0.7631,164.6353,99.4474,29.7707,35.4173,3200
2,50,3238,0.0003,0.7674,153.7267,90.8191,28.1651,34.7425,3288
2,100,3238,0.0003,0.7511,157.6044,94.821,28.1853,34.5981,3338
2,150,3238,0.0003,0.7496,155.1084,91.7953,28.6803,34.6328,3388
2,200,3238,0.0003,0.7568,159.7188,95.4559,29.0713,35.1917,3438
2,250,3238,0.0003,0.7658,157.8527,94.2427,28.9602,34.6498,3488
2,300,3238,0.0003,0.759,161.5019,96.9476,29.303,35.2512,3538
2,350,3238,0.0003,0.7688,153.9577,90.7661,28.4628,34.7288,3588
2,400,3238,0.0003,0.7603,154.7163,91.4704,28.1655,35.0803,3638
2,450,3238,0.0003,0.7722,156.172,94.0666,27.9302,34.1752,3688
