epoch,iter,iters,lr,time,loss,loss_cls,loss_bbox,loss_dfl,global_iter
1,50,3238,1.0097e-05,0.8357,405.7736,321.2669,39.2785,45.2282,50
1,100,3238,2.0093e-05,0.7206,286.1353,210.6399,33.7108,41.7847,100
1,150,3238,3.009e-05,0.733,248.2846,173.5707,33.0902,41.6236,150
1,200,3238,4.0087e-05,0.729,226.5143,155.2755,31.6535,39.5852,200
1,250,3238,5.0083e-05,0.735,216.7709,145.9684,31.1483,39.6542,250
1,300,3238,6.008e-05,0.7391,206.927,137.6218,30.6916,38.6136,300
1,350,3238,7.0077e-05,0.7409,207.6709,139.0381,30.3007,38.3322,350
1,400,3238,8.0073e-05,0.7395,202.0626,132.5494,30.6942,38.819,400
1,450,3238,9.007e-05,0.7372,196.6471,125.861,31.0806,39.7055,450
1,500,3238,0.00010007,0.7401,203.4663,133.835,31.0811,38.5502,500
1,550,3238,0.00011006,0.7391,202.8291,132.8504,31.2419,38.7369,550
1,600,3238,0.00012006,0.7422,196.9826,126.5675,31.3416,39.0735,600
1,650,3238,0.00013006,0.7379,187.2042,119.3162,29.9295,37.9585,650
1,700,3238,0.00014005,0.7445,190.4939,122.4342,30.3213,37.7384,700
1,750,3238,0.00015005,0.7492,192.523,123.5043,30.4914,38.5273,750
1,800,3238,0.00016005,0.7372,186.8938,119.1451,29.7954,37.9533,800
1,850,3238,0.00017004,0.7361,190.5069,121.7367,30.8276,37.9426,850
1,900,3238,0.00018004,0.746,182.8013,115.3799,29.8338,37.5876,900
1,950,3238,0.00019004,0.7333,188.5125,119.0796,30.8613,38.5716,950
1,1000,3238,0.00020003,0.7343,183.8752,116.1672,30.0908,37.6172,1000
1,1050,3238,0.00021003,0.7312,184.168,115.61,30.415,38.143,1050
1,1100,3238,0.00022003,0.7322,188.4839,118.6562,31.2899,38.5378,1100
1,1150,3238,0.00023002,0.7301,184.9836,115.3073,30.7662,38.9101,1150
1,1200,3238,0.00024002,0.7321,189.6109,118.9551,31.4592,39.1966,1200
1,1250,3238,0.00025002,0.7315,184.1385,114.4412,30.8853,38.8121,1250
1,1300,3238,0.00026001,0.7336,182.3828,113.782,30.1348,38.466,1300
1,1350,3238,0.00027001,0.732,179.8245,111.5756,30.2936,37.9553,1350
1,1400,3238,0.00028001,0.7323,174.6048,108.2347,29.3382,37.0319,1400
1,1450,3238,0.00029,0.7396,183.5834,113.1534,30.9446,39.4853,1450
1,1500,3238,0.0003,0.7419,184.0265,113.5331,31.096,39.3974,1500
1,1550,3238,0.0003,0.736,184.1742,114.8995,30.6959,38.5788,1550
1,1600,3238,0.0003,0.7326,177.437,109.4344,30.1741,37.8285,1600
1,1650,3238,0.0003,0.7393,181.4269,112.4411,30.6597,38.3261,1650
1,1700,3238,0.0003,0.7466,176.699,108.9054,30.221,37.5725,1700
1,1750,3238,0.0003,0.7348,176.9691,109.0704,29.997,37.9016,1750
1,1800,3238,0.0003,0.7339,177.1526,108.4398,30.5662,38.1466,1800
1,1850,3238,0.0003,0.7319,177.6361,107.6347,30.8118,39.1896,1850
1,1900,3238,0.0003,0.7416,174.0694,106.4098,30.2198,37.4398,1900
1,1950,3238,0.0003,0.7346,168.5673,102.1111,28.9537,37.5025,1950
